"job_id","company_name","job_title_short","salary_year_avg","job_location"
177779,"East River Electric Power Cooperative, Inc.","Data Scientist","960000.0","Madison, SD"
551617,"ReServe","Data Scientist","585000.0","New York, NY"
40145,"Selby Jennings","Data Scientist","550000.0","Anywhere"
1714768,"Selby Jennings","Data Scientist","525000.0","Anywhere"
1455311,"Netflix","Data Scientist","450000.0","California City, CA"
1300865,"Netflix","Data Scientist","450000.0","Los Gatos, CA"
1023855,"Glocomms","Data Scientist","425000.0","San Francisco, CA"
1131472,"Algo Capital Group","Data Scientist","375000.0","Anywhere"
1260290,"YETI Coolers","Data Scientist","375000.0","Austin, TX"
452344,"Linquest Corporation","Data Scientist","375000.0","Dayton, OH"
